,Vertex,Edge,Diameter,Radius,Periphery,Center,Pentagon,Hexagon,Cycle,Q25 (L-eigenv),Q50 (L-eigenv),Q75 (L-eigenv),Q25 (A-eigenv),Q50 (A-eigenv),Q75 (A-eigenv),M (L-eigenv distr),V (L-eigenv distr),V (A-eigenv distr)
0,17,38,9,5,3,4,0,3,22,1,1.685262332,3.442048785,-1.182306776,-3.89E-47,1.182306776,2.235294118,2.650519031,2.235294118
1,13,28,6,3,3,1,0,2,16,1,1.554958132,3.4350904,-1.137647673,-1.15E-48,1.137647673,2.153846154,2.591715976,2.153846154
2,13,28,6,3,3,1,0,2,16,1,1.554958132,3.4350904,-1.137647673,1.77E-47,1.137647673,2.153846154,2.591715976,2.153846154
3,19,44,7,4,4,3,1,3,26,0.977004667,1.854030611,3.498399172,-1.309045319,4.47E-35,1.276240339,2.315789474,2.742382271,2.315789474
4,11,22,5,3,5,2,0,1,12,0.72710093,1.247238405,3.418583727,-1.13353061,-1.91E-17,1.13353061,2,2.727272727,2
5,28,62,9,5,8,2,0,4,35,0.936542323,1.587428691,3.651355607,-1.091571277,-2.70E-17,1.091571277,2.214285714,2.954081633,2.214285714
6,16,34,9,5,3,3,0,2,19,0.907987927,1.642409922,3.352333283,-1.146449296,1.43E-17,1.146449296,2.125,2.609375,2.125
7,20,44,11,6,4,3,1,2,25,0.954547677,1.816753233,3.494401539,-1.20845291,6.78E-17,1.230543091,2.2,2.76,2.2
8,12,26,6,3,4,1,1,1,15,0.910715329,1.767887249,3.418387818,-1.231428264,0.142314838,1.165553223,2.166666667,2.638888889,2.166666667
9,17,38,9,5,3,3,1,2,22,0.850336041,2,3.377146774,-1.173010601,1.08E-33,1.255945557,2.235294118,2.76816609,2.235294118
10,17,38,7,4,5,1,0,3,22,1,1.718391953,3.470979307,-1.264096936,-3.17E-47,1.264096936,2.235294118,2.650519031,2.235294118
11,20,46,8,4,4,1,0,4,27,0.865137641,1.860580492,3.678407975,-1.198828683,0,1.198828683,2.3,2.81,2.3
12,22,50,8,5,6,3,1,3,29,1,1.838056356,3.569082278,-1.224557419,-1.34E-17,1.235383764,2.272727273,2.834710744,2.272727273
13,13,28,6,3,5,1,1,1,16,0.865180613,1.762960918,3.27347723,-1.09125004,-8.27E-36,1.131263875,2.153846154,2.74556213,2.153846154
14,19,44,8,4,3,1,0,4,26,0.894645081,1.798651021,3.64119947,-1.208908064,-3.64E-35,1.208908064,2.315789474,2.742382271,2.315789474
15,22,50,8,4,6,1,1,3,29,1,1.858701147,3.563578755,-1.13817816,1.85E-17,1.158031714,2.272727273,2.834710744,2.272727273
16,11,22,5,3,3,3,0,1,12,0.612876446,1.652703645,3.515316559,-1.207106781,0,1.207106781,2,2.727272727,2
17,17,38,8,4,3,1,1,2,22,1,1.822607282,3.464702118,-1.211592321,4.46E-34,1.24798268,2.235294118,2.76816609,2.235294118
18,13,28,7,4,3,3,0,2,16,0.919195411,1.543196667,3.48860084,-1.260683536,-7.97E-48,1.260683536,2.153846154,2.591715976,2.153846154
19,18,40,10,5,3,1,1,2,23,0.869852962,1.941679997,3.362591422,-1.15265478,0.088762712,1.251548323,2.222222222,2.728395062,2.222222222
20,18,38,10,5,4,1,0,2,21,1,1.451859372,3.243961029,-1.084867064,-9.07E-17,1.084867064,2.111111111,2.654320988,2.111111111
21,17,38,9,5,3,3,1,2,22,0.850336041,2,3.377146774,-1.173010601,-1.76E-16,1.255945557,2.235294118,2.76816609,2.235294118
22,23,54,10,5,3,1,1,4,32,0.895382989,1.991832458,3.655550223,-1.311107212,2.75E-33,1.300182437,2.347826087,2.748582231,2.347826087
23,27,66,9,5,4,3,0,7,40,1,1.921625632,3.930131696,-1.305115752,0,1.305115752,2.444444444,2.839506173,2.444444444
24,17,38,9,5,3,3,1,2,22,0.850336041,2,3.377146774,-1.173010601,-1.76E-16,1.255945557,2.235294118,2.76816609,2.235294118
25,13,26,6,3,5,1,0,1,14,0.763529825,1.18325459,3.235010219,-1,0,1,2,2.769230769,2
26,23,54,10,5,3,2,0,5,32,0.97405293,1.90515992,3.640292376,-1.239356501,-2.44E-33,1.239356501,2.347826087,2.748582231,2.347826087
27,17,38,9,5,3,3,1,2,22,0.850336041,2,3.377146774,-1.173010601,-1.76E-16,1.255945557,2.235294118,2.76816609,2.235294118
28,23,50,10,5,4,1,1,2,28,0.838439661,1.352993345,3.378007183,-1.095511628,-4.17E-49,1.143903319,2.173913043,2.926275992,2.173913043
29,23,54,10,6,4,4,1,4,32,0.956241342,1.901101342,3.645415323,-1.277560621,-1.57E-33,1.282622394,2.347826087,2.748582231,2.347826087
30,22,50,8,4,3,1,1,3,29,0.970834028,1.810979254,3.562270949,-1.348686625,-2.12E-17,1.336949006,2.272727273,2.834710744,2.272727273
31,24,50,11,6,4,2,0,2,27,0.886102951,1.30130179,3.338044954,-1.086660016,-1.10E-17,1.086660016,2.083333333,2.826388889,2.083333333
32,23,50,12,6,5,1,1,2,28,0.909678421,1.594973587,3.386016161,-1.102615938,3.85E-34,1.159575435,2.173913043,2.926275992,2.173913043
33,13,28,7,4,3,3,0,2,16,0.919195411,1.543196667,3.48860084,-1.260683536,0,1.260683536,2.153846154,2.591715976,2.153846154
34,17,38,9,5,3,3,1,2,22,0.850336041,2,3.377146774,-1.173010601,3.62E-32,1.255945557,2.235294118,2.76816609,2.235294118
35,14,30,7,4,3,3,0,2,17,0.905243,1.674038286,3.487790849,-1.222450111,-2.13E-16,1.222450111,2.142857143,2.693877551,2.142857143
36,17,36,11,6,3,2,0,2,20,1,1.692640234,3.27001266,-1,0,1,2.117647059,2.456747405,2.117647059
37,15,32,9,5,3,3,0,2,18,1,1.63236646,3.18381677,-1.065916657,0,1.065916657,2.133333333,2.515555556,2.133333333
38,15,32,7,4,2,2,0,2,18,0.859226444,1.611135537,3.43066436,-1.169746829,-1.15E-48,1.169746829,2.133333333,2.648888889,2.133333333
39,13,28,6,3,3,1,0,2,16,1,1.554958132,3.4350904,-1.137647673,-3.75E-48,1.137647673,2.153846154,2.591715976,2.153846154
40,17,38,9,5,3,3,1,2,22,0.850336041,2,3.377146774,-1.173010601,-1.76E-16,1.255945557,2.235294118,2.76816609,2.235294118
41,13,28,7,4,3,3,1,1,16,1,1.780313129,3.310459651,-1.10549389,-1.30E-34,1.160534338,2.153846154,2.74556213,2.153846154
42,19,44,8,4,3,1,1,3,26,0.974009709,1.857003,3.514734561,-1.283175929,4.26E-34,1.260467221,2.315789474,2.742382271,2.315789474
43,17,38,9,5,3,4,0,3,22,1,1.685262332,3.442048785,-1.182306776,-3.89E-47,1.182306776,2.235294118,2.650519031,2.235294118
44,12,24,7,4,4,4,0,1,13,0.859611797,1.246529042,3.126735479,-1.079357652,-1.79E-18,1.079357652,2,2.666666667,2
45,23,54,10,5,3,2,0,5,32,0.97405293,1.90515992,3.640292376,-1.239356501,-3.24E-18,1.239356501,2.347826087,2.748582231,2.347826087
46,22,50,11,6,4,6,0,4,29,1,1.72162513,3.763092322,-1.185234703,4.92E-17,1.185234703,2.272727273,2.834710744,2.272727273
47,17,38,9,5,3,3,0,3,22,0.891334218,1.687800789,3.432937212,-1.254837808,0,1.254837808,2.235294118,2.650519031,2.235294118
48,20,44,10,5,4,1,0,3,25,0.955356908,1.690174766,3.410944659,-1.167712779,-6.78E-18,1.167712779,2.2,2.76,2.2
49,16,34,7,4,4,2,0,2,19,0.867123616,1.526119417,3.401803879,-1.130773898,-2.10E-17,1.130773898,2.125,2.734375,2.125
50,26,60,9,5,5,2,0,5,35,1,1.842775049,3.675833554,-1.281542239,2.86E-17,1.281542239,2.307692308,2.828402367,2.307692308
51,26,60,9,5,3,3,0,5,35,1,1.852618961,3.636801445,-1.2215898,-7.18E-17,1.2215898,2.307692308,2.828402367,2.307692308
52,19,42,10,5,4,1,1,2,24,0.912914661,1.934704051,3.377943781,-1.122612597,1.43E-17,1.183795679,2.210526316,2.797783934,2.210526316
53,19,42,10,5,3,1,0,3,24,0.806409665,1.759397651,3.628398466,-1.262717993,5.83E-17,1.262717993,2.210526316,2.797783934,2.210526316
54,14,30,7,4,3,3,0,2,17,0.730481096,1.719545605,3.457098989,-1.283252564,8.95E-17,1.283252564,2.142857143,2.693877551,2.142857143
55,17,38,9,5,3,3,0,3,22,0.891334218,1.687800789,3.432937212,-1.254837808,-4.97E-49,1.254837808,2.235294118,2.650519031,2.235294118
56,21,44,11,6,4,2,0,2,24,1,1.302256646,3.275772694,-1,-3.82E-19,1,2.095238095,2.752834467,2.095238095
57,25,58,10,5,4,1,0,5,34,0.752041909,1.912469824,3.810857122,-1.192219089,5.90E-17,1.192219089,2.32,2.8576,2.32
58,23,54,9,5,4,2,1,4,32,0.943752263,1.991561332,3.657325557,-1.273904856,4.13E-34,1.276129535,2.347826087,2.748582231,2.347826087
59,19,40,8,4,4,2,0,2,22,0.852911268,1.531672397,3.390395386,-1.129862179,2.64E-50,1.129862179,2.105263158,2.831024931,2.105263158
60,17,38,9,5,3,3,1,2,22,0.850336041,2,3.377146774,-1.173010601,-1.76E-16,1.255945557,2.235294118,2.76816609,2.235294118
61,11,22,6,3,3,1,0,1,12,0.681414812,1.352314094,3.323795946,-1.105280546,0,1.105280546,2,2.727272727,2
62,23,48,15,8,4,2,2,0,26,0.792544016,1.565471831,3.348746139,-1.202159418,1.05E-17,1.110923807,2.086956522,2.601134216,2.086956522
63,20,44,10,5,4,1,1,2,25,0.883127576,1.621776541,3.391746693,-1.072337578,-1.64E-17,1.111696481,2.2,2.86,2.2
64,16,34,7,4,3,2,0,2,19,0.923330941,1.532327788,3.447651943,-1.178008405,-9.96E-18,1.178008405,2.125,2.734375,2.125
65,16,34,9,5,3,2,0,2,19,0.921094767,1.578799169,3.258193402,-1.089164069,-1.86E-17,1.089164069,2.125,2.609375,2.125
66,20,46,7,4,5,3,1,3,27,0.981795237,1.868229383,3.631303417,-1.313649056,9.79E-17,1.278897537,2.3,2.81,2.3
67,23,54,10,5,3,1,0,5,32,0.957425001,1.902013829,3.640782655,-1.231069045,-2.82E-33,1.231069045,2.347826087,2.748582231,2.347826087
68,19,42,9,5,4,4,1,2,24,0.922073116,1.929106384,3.409081019,-1.211266438,-7.70E-34,1.192676237,2.210526316,2.797783934,2.210526316
69,14,30,7,4,3,3,1,1,17,0.720027692,1.618506211,3.307129057,-1.077687493,1.28E-16,1.136597432,2.142857143,2.836734694,2.142857143
70,26,60,9,5,4,4,0,5,35,1,1.835797922,3.729257872,-1.253407008,-9.21E-18,1.253407008,2.307692308,2.828402367,2.307692308
71,16,36,8,4,4,1,1,2,21,0.953765981,1.931539303,3.412328876,-1.182454136,0.089933574,1.190989825,2.25,2.6875,2.25
72,16,34,7,4,5,2,0,2,19,0.905899119,1.595548488,3.363709823,-1.219120202,-6.18E-18,1.219120202,2.125,2.609375,2.125
73,23,54,10,5,5,1,1,4,32,0.976486281,1.928588523,3.602568935,-1.310908779,-2.50E-35,1.212207941,2.347826087,2.748582231,2.347826087
74,18,38,11,6,4,2,0,2,21,1,1.495307422,3.208000761,-1,1.87E-17,1,2.111111111,2.654320988,2.111111111
75,10,20,5,3,3,3,0,1,11,0.689339828,1.456128586,3.310660172,-1.150494472,2.26E-17,1.150494472,2,2.6,2
76,16,34,8,4,3,1,0,2,19,0.896446609,1.592871762,3.417070049,-1.230925371,-6.23E-18,1.230925371,2.125,2.609375,2.125
77,16,34,9,5,3,3,0,2,19,0.896446609,1.659848127,3.374300482,-1.150947271,-1.51E-16,1.150947271,2.125,2.609375,2.125
78,17,38,9,5,3,3,0,3,22,0.891334218,1.687800789,3.432937212,-1.254837808,-4.97E-49,1.254837808,2.235294118,2.650519031,2.235294118
79,19,44,7,4,5,3,1,3,26,0.964915422,1.888771817,3.512961389,-1.311534695,2.75E-32,1.207106781,2.315789474,2.742382271,2.315789474
80,12,24,6,3,4,1,0,1,13,0.84874589,1.254966808,3.139041035,-1.009077427,2.35E-18,1.009077427,2,2.666666667,2
81,25,56,8,5,8,3,1,3,32,1,1.838055765,3.600163195,-1.251736965,-2.84E-51,1.275730797,2.24,2.9024,2.24
82,16,36,8,4,4,1,1,2,21,0.953765981,1.931539303,3.412328876,-1.182454136,0.089933574,1.190989825,2.25,2.6875,2.25
83,11,22,7,4,3,4,0,1,12,0.741710091,1.447590543,3.143667911,-1.080469018,0,1.080469018,2,2.545454545,2
84,23,54,9,5,2,2,1,4,32,0.952479885,1.991527698,3.610516321,-1.289989835,-2.45E-33,1.289959042,2.347826087,2.748582231,2.347826087
85,23,54,10,5,3,1,1,4,32,0.956727331,1.871478449,3.668728471,-1.306639828,-9.85E-35,1.299229323,2.347826087,2.748582231,2.347826087
86,16,36,8,4,3,1,1,2,21,0.972198473,1.940801168,3.44799728,-1.227411901,0.086461565,1.250393735,2.25,2.6875,2.25
87,12,24,7,4,4,4,0,1,13,0.859611797,1.246529042,3.126735479,-1.079357652,-1.45E-16,1.079357652,2,2.666666667,2
88,13,28,5,3,7,2,1,1,16,0.823193995,1.697418789,3.396412325,-1.2848389,4.09E-17,1.104207734,2.153846154,2.74556213,2.153846154
89,23,54,8,5,3,5,0,5,32,1,1.839896534,3.6526074,-1.285996985,7.68E-49,1.285996985,2.347826087,2.748582231,2.347826087
90,25,58,11,6,3,4,0,5,34,0.811664124,1.925894944,3.828084875,-1.229616667,7.66E-17,1.229616667,2.32,2.8576,2.32
91,19,44,9,5,3,5,0,4,26,0.947490298,1.723082955,3.683985756,-1.210345277,-6.26E-17,1.210345277,2.315789474,2.742382271,2.315789474
92,23,54,9,5,3,3,0,5,32,1.008045603,1.849241794,3.62710557,-1.246515512,1.25E-35,1.246515512,2.347826087,2.748582231,2.347826087
93,19,44,7,4,6,1,0,4,26,0.921656388,1.740326256,3.67864632,-1.277739984,-8.04E-49,1.277739984,2.315789474,2.742382271,2.315789474
94,19,40,8,4,4,1,0,2,22,0.866098489,1.562028899,3.437049767,-1.193982507,-1.45E-50,1.193982507,2.105263158,2.831024931,2.105263158
95,25,56,9,5,6,2,0,4,32,0.941444348,1.638429921,3.635338051,-1.120067391,-2.48E-17,1.120067391,2.24,2.9024,2.24
96,18,40,10,5,3,1,1,2,23,0.869852962,1.941679997,3.362591422,-1.15265478,0.088762712,1.251548323,2.222222222,2.728395062,2.222222222
97,13,28,6,3,3,1,0,2,16,1,1.554958132,3.4350904,-1.137647673,-1.15E-48,1.137647673,2.153846154,2.591715976,2.153846154
98,15,34,6,4,5,5,1,2,20,0.872560629,1.839601803,3.560758123,-1.26284611,-8.67E-34,1.207106781,2.266666667,2.728888889,2.266666667
99,16,34,8,4,4,1,0,2,19,0.907286579,1.537317622,3.336150083,-1.195166627,-8.03E-18,1.195166627,2.125,2.609375,2.125
100,23,54,9,5,3,3,0,5,32,1.008045603,1.849241794,3.62710557,-1.246515512,-1.18E-34,1.246515512,2.347826087,2.748582231,2.347826087
101,26,56,10,5,4,1,1,2,31,0.759409192,1.352500655,3.336324415,-1.070812498,3.23E-17,1.153205188,2.153846154,2.976331361,2.153846154
102,19,44,9,5,3,5,0,4,26,0.947490298,1.723082955,3.683985756,-1.210345277,-8.31E-51,1.210345277,2.315789474,2.742382271,2.315789474
103,23,54,8,5,3,5,0,5,32,1,1.839896534,3.6526074,-1.285996985,-2.70E-33,1.285996985,2.347826087,2.748582231,2.347826087
104,17,38,7,4,5,1,0,3,22,1,1.718391953,3.470979307,-1.264096936,2.69E-49,1.264096936,2.235294118,2.650519031,2.235294118
105,20,46,8,4,3,1,0,4,27,0.934418407,1.823762878,3.703696635,-1.227948204,8.06E-18,1.227948204,2.3,2.81,2.3
106,25,56,8,5,8,2,1,3,32,1,1.817995884,3.628403056,-1.266463891,4.75E-51,1.291269142,2.24,2.9024,2.24
107,19,44,8,4,4,1,1,3,26,1,1.865138144,3.516200785,-1.224853021,1.05E-34,1.20834078,2.315789474,2.742382271,2.315789474
108,28,66,11,6,4,4,0,6,39,0.948098906,1.866579861,3.79253411,-1.328294415,7.87E-17,1.328294415,2.357142857,2.87244898,2.357142857
109,24,50,9,5,7,3,0,2,27,0.868642231,1.30524957,3.403847032,-1.167643933,-6.52E-17,1.167643933,2.083333333,2.826388889,2.083333333
110,11,22,7,4,3,4,0,1,12,0.741710091,1.447590543,3.143667911,-1.080469018,1.37E-49,1.080469018,2,2.545454545,2
111,15,34,7,4,3,4,1,2,20,0.79714142,1.764625512,3.62226754,-1.335722717,-4.16E-33,1.158587906,2.266666667,2.728888889,2.266666667
112,13,26,6,3,5,1,0,1,14,0.763529825,1.18325459,3.235010219,-1,0,1,2,2.769230769,2
113,16,34,9,5,3,3,0,2,19,0.896446609,1.659848127,3.374300482,-1.150947271,2.87E-16,1.150947271,2.125,2.609375,2.125
114,12,26,6,3,4,1,1,1,15,0.910715329,1.767887249,3.418387818,-1.231428264,0.142314838,1.165553223,2.166666667,2.638888889,2.166666667
115,10,20,6,3,3,2,0,1,11,0.81387999,1.382330094,3.17650486,-1,0,1,2,2.6,2
116,21,44,10,5,4,1,0,2,24,1,1.276460211,3.319953772,-1.110615577,2.84E-18,1.110615577,2.095238095,2.752834467,2.095238095
117,23,54,10,5,3,1,0,5,32,0.957425001,1.902013829,3.640782655,-1.231069045,-6.58E-17,1.231069045,2.347826087,2.748582231,2.347826087
118,21,44,9,5,5,3,0,2,24,1,1.292862312,3.354460096,-1.120493618,-1.87E-17,1.120493618,2.095238095,2.752834467,2.095238095
119,13,28,7,4,3,4,1,1,16,0.792452621,1.742380378,3.318872747,-1.143112952,-2.96E-33,1.264145589,2.153846154,2.74556213,2.153846154
120,25,56,9,5,4,2,1,3,32,1,1.813605722,3.580326861,-1.328766703,-2.97E-51,1.305425731,2.24,2.9024,2.24
121,21,48,9,5,2,3,0,4,28,1,1.878241117,3.473742864,-1.220415246,4.14E-33,1.220415246,2.285714286,2.680272109,2.285714286
122,17,36,9,5,3,3,0,2,20,0.632359017,1.705801694,3.414213562,-1.247364587,0,1.247364587,2.117647059,2.692041522,2.117647059
123,11,22,6,3,3,2,0,1,12,0.67064503,1.48529532,3.41727982,-1.151387819,0,1.151387819,2,2.727272727,2
124,19,44,9,5,3,5,0,4,26,0.947490298,1.723082955,3.683985756,-1.210345277,-8.31E-51,1.210345277,2.315789474,2.742382271,2.315789474
125,20,44,10,5,4,2,0,3,25,0.921112573,1.687648924,3.483170941,-1.265105376,-1.01E-16,1.265105376,2.2,2.76,2.2
126,21,44,10,5,4,1,0,2,24,1,1.314743284,3.298442827,-1.094015291,-3.03E-18,1.094015291,2.095238095,2.752834467,2.095238095
127,15,34,6,3,5,1,1,2,20,0.841802405,1.78510192,3.529231358,-1.235055413,4.40E-17,1.18350229,2.266666667,2.728888889,2.266666667
128,14,28,7,4,3,3,0,1,15,0.662376813,1.354491345,3.212664743,-1.078874042,-3.15E-17,1.078874042,2,2.714285714,2
129,11,22,5,3,5,2,0,1,12,0.681508739,1.417476406,3.245666301,-1.144122806,0,1.144122806,2,2.545454545,2
130,19,40,12,6,3,1,0,2,22,0.889488751,1.506773562,3.27199791,-1.106241674,-2.01E-33,1.106241674,2.105263158,2.515235457,2.105263158
131,11,22,5,3,5,2,0,1,12,0.681508739,1.417476406,3.245666301,-1.144122806,6.76E-49,1.144122806,2,2.545454545,2
132,21,46,10,5,3,1,0,3,26,0.59084225,1.684372935,3.725852061,-1.297958493,8.15E-17,1.297958493,2.19047619,2.916099773,2.19047619
133,22,50,11,6,4,6,0,4,29,1,1.72162513,3.763092322,-1.185234703,1.53E-17,1.185234703,2.272727273,2.834710744,2.272727273
134,11,22,6,3,3,1,0,1,12,0.681414812,1.352314094,3.323795946,-1.105280546,0,1.105280546,2,2.727272727,2
135,20,46,8,4,3,1,0,4,27,0.907848,1.850381573,3.651726751,-1.199897925,-1.21E-17,1.199897925,2.3,2.81,2.3
136,22,50,8,5,6,4,1,3,29,1,1.849849193,3.584899975,-1.266893533,-2.92E-17,1.2590652,2.272727273,2.834710744,2.272727273
137,13,28,7,4,3,3,1,1,16,1,1.780313129,3.310459651,-1.10549389,-1.30E-34,1.160534338,2.153846154,2.74556213,2.153846154
138,11,22,5,3,5,2,0,1,12,0.72710093,1.247238405,3.418583727,-1.13353061,-1.91E-17,1.13353061,2,2.727272727,2
139,16,34,6,3,6,1,0,2,19,0.873892728,1.527426347,3.413464036,-1.103553391,-1.90E-17,1.103553391,2.125,2.734375,2.125
140,11,22,5,3,4,2,0,1,12,0.624061795,1.476090986,3.340440505,-1.14317664,6.02E-33,1.14317664,2,2.727272727,2
141,20,44,10,5,3,1,0,3,25,0.823975455,1.681856468,3.773754684,-1.290213819,1.78E-17,1.290213819,2.2,2.86,2.2
142,12,24,6,3,4,1,0,1,13,0.825311312,1.515243969,3.134754092,-1.131332974,7.68E-17,1.131332974,2,2.5,2
143,11,22,5,3,5,2,0,1,12,0.72710093,1.247238405,3.418583727,-1.13353061,-1.91E-17,1.13353061,2,2.727272727,2
144,16,34,9,5,4,3,0,2,19,0.909419617,1.604143321,3.309167936,-1.13678714,-3.11E-17,1.13678714,2.125,2.609375,2.125
145,16,34,10,5,3,1,0,2,19,0.927579385,1.647396204,3.228265605,-1.064820032,0,1.064820032,2.125,2.609375,2.125
146,13,28,7,4,3,3,1,1,16,1,1.780313129,3.310459651,-1.10549389,-1.30E-34,1.160534338,2.153846154,2.74556213,2.153846154
147,15,34,7,4,3,4,1,2,20,0.79714142,1.764625512,3.62226754,-1.335722717,-4.16E-33,1.158587906,2.266666667,2.728888889,2.266666667
148,20,44,11,6,4,4,0,3,25,0.900975838,1.680162512,3.437962713,-1.21367725,-5.34E-17,1.21367725,2.2,2.76,2.2
149,12,24,6,3,3,1,1,0,13,0.693420215,1.595342495,3.289109138,-1.222644429,-7.07E-17,1.031591006,2,2.666666667,2
150,12,26,5,3,5,2,1,1,15,0.878172814,1.755613764,3.491992521,-1.343571975,0.139277748,1.116878654,2.166666667,2.638888889,2.166666667
151,22,50,8,5,6,2,1,3,29,0.967473914,1.771971911,3.536809426,-1.310660172,3.54E-17,1.310660172,2.272727273,2.834710744,2.272727273
152,15,34,6,3,5,1,1,2,20,0.841802405,1.78510192,3.529231358,-1.235055413,4.40E-17,1.18350229,2.266666667,2.728888889,2.266666667
153,12,26,6,4,4,5,1,1,15,0.920813275,1.780001437,3.483533029,-1.290471707,0.14748145,1.228774221,2.166666667,2.638888889,2.166666667
154,14,28,7,4,3,3,0,1,15,0.662376813,1.354491345,3.212664743,-1.078874042,0,1.078874042,2,2.714285714,2
155,12,26,6,3,4,1,1,1,15,0.910715329,1.767887249,3.418387818,-1.231428264,0.142314838,1.165553223,2.166666667,2.638888889,2.166666667
156,20,46,8,4,4,1,0,4,27,0.849371006,1.851011555,3.712880975,-1.251677386,0,1.251677386,2.3,2.81,2.3
157,20,44,11,6,4,3,1,2,25,0.954547677,1.816753233,3.494401539,-1.20845291,6.78E-17,1.230543091,2.2,2.76,2.2
158,20,46,8,4,4,1,0,4,27,0.865137641,1.860580492,3.678407975,-1.198828683,2.41E-18,1.198828683,2.3,2.81,2.3
159,14,28,6,4,5,4,0,1,15,0.692058463,1.24903759,3.265683342,-1,-4.52E-17,1,2,2.857142857,2
160,26,60,9,5,5,2,0,5,35,1,1.842775049,3.675833554,-1.281542239,-2.87E-17,1.281542239,2.307692308,2.828402367,2.307692308
161,24,50,11,6,4,2,0,2,27,0.887564251,1.334630962,3.339646559,-1.094971643,8.65E-32,1.094971643,2.083333333,2.826388889,2.083333333
162,22,50,11,6,4,6,0,4,29,1,1.72162513,3.763092322,-1.185234703,1.53E-17,1.185234703,2.272727273,2.834710744,2.272727273
163,22,50,8,4,5,1,0,4,29,0.946035794,1.773452554,3.610688292,-1.122309492,1.14E-17,1.122309492,2.272727273,2.834710744,2.272727273
164,19,44,8,4,5,1,1,3,26,0.988978829,1.901147964,3.469961675,-1.265615097,3.70E-34,1.178978739,2.315789474,2.742382271,2.315789474
165,23,52,9,5,3,2,0,4,30,0.911547772,1.647070909,3.706863081,-1.223304101,-1.15E-19,1.223304101,2.260869565,2.801512287,2.260869565
166,22,50,9,5,4,2,0,4,29,0.859719643,1.765369731,3.690234681,-1.223282926,3.49E-17,1.223282926,2.272727273,2.834710744,2.272727273
167,11,22,7,4,3,4,0,1,12,0.741710091,1.447590543,3.143667911,-1.080469018,0,1.080469018,2,2.545454545,2
168,13,26,6,3,5,1,0,1,14,0.763529825,1.18325459,3.235010219,-1,0,1,2,2.769230769,2
169,17,38,8,4,3,1,0,3,22,0.896663825,1.701623965,3.461930414,-1.300833687,1.88E-46,1.300833687,2.235294118,2.650519031,2.235294118
170,24,50,11,6,4,2,0,2,27,0.885141039,1.262216018,3.34481226,-1.082551181,2.57E-32,1.082551181,2.083333333,2.826388889,2.083333333
171,12,26,6,3,4,1,1,1,15,0.910715329,1.767887249,3.418387818,-1.231428264,0.142314838,1.165553223,2.166666667,2.638888889,2.166666667
172,21,44,11,6,4,2,0,2,24,1,1.380322559,3.255163781,-1,7.04E-50,1,2.095238095,2.752834467,2.095238095
173,22,50,10,5,4,1,1,3,29,1,1.84550848,3.496948177,-1.174337561,-3.90E-17,1.146354569,2.272727273,2.834710744,2.272727273
174,22,48,10,5,3,1,0,3,27,0.61337561,1.715956863,3.702861176,-1.262971993,-2.67E-17,1.262971993,2.181818182,2.966942149,2.181818182
175,12,26,6,3,4,1,1,1,15,0.910715329,1.767887249,3.418387818,-1.231428264,0.142314838,1.165553223,2.166666667,2.638888889,2.166666667
176,20,44,8,4,6,1,0,3,25,0.939253441,1.6790452,3.467048447,-1.239347366,-1.32E-16,1.239347366,2.2,2.76,2.2
177,13,28,6,3,3,1,1,1,16,1,1.796999239,3.416368887,-1.276754799,-2.66E-33,1,2.153846154,2.74556213,2.153846154
178,22,46,14,7,4,1,0,2,25,0.901090843,1.522322255,3.237974586,-1.040756847,-1.73E-17,1.040756847,2.090909091,2.628099174,2.090909091
179,28,66,9,5,6,2,0,6,39,0.95958156,1.86866451,3.801555747,-1.297640424,-1.34E-17,1.297640424,2.357142857,2.87244898,2.357142857
180,11,22,5,3,5,2,0,1,12,0.72710093,1.247238405,3.418583727,-1.13353061,-1.91E-17,1.13353061,2,2.727272727,2
181,14,30,6,3,5,1,0,2,17,0.859220746,1.646207244,3.440841893,-1.156531493,8.47E-17,1.156531493,2.142857143,2.693877551,2.142857143
182,22,50,9,5,4,4,0,4,29,0.880401734,1.769800781,3.62785634,-1.139148283,-5.74E-19,1.139148283,2.272727273,2.834710744,2.272727273
183,22,50,9,5,4,3,1,3,29,1,1.842732707,3.559204632,-1.26868768,1.38E-19,1.248845029,2.272727273,2.834710744,2.272727273
184,13,26,6,3,3,1,0,1,14,0.809149143,1.234414043,3.20402571,-1,1.55E-17,1,2,2.769230769,2
185,12,26,6,3,4,1,1,1,15,0.910715329,1.767887249,3.418387818,-1.231428264,0.142314838,1.165553223,2.166666667,2.638888889,2.166666667
186,21,48,9,5,3,3,0,4,28,1,1.800815469,3.510904681,-1.285575219,1.12E-47,1.285575219,2.285714286,2.680272109,2.285714286
187,16,36,8,4,3,1,1,2,21,0.972198473,1.940801168,3.44799728,-1.227411901,0.086461565,1.250393735,2.25,2.6875,2.25
